Name,Released_year,Rating,Genre,Sub_genre,Free
PUBG: BATTLEGROUNDS,2017,5.9,Action,Adventure,True
Team Fortress 2,2007,9.2,Action,N/A,True
Call of Duty,2022,5.8,Action,N/A,False
Destiny 2,2019,8.3,Action,Adventure,True
War Thunder,2013,8.1,Action,Massively Multiplayer,True
Unturned,2017,9.1,Action,Adventure,True
Brawlhalla,2017,8.2,Action,Indie,True
Paladins,2018,8.3,Action,Adventure,True
Overwatch 2,2023,2.1,Action,N/A,True
Z1 Battle Royale,2018,7.0,Action,Adventure,True
SCP: Secret Laboratory,2017,9.2,Action,N/A,True
THE FINALS,2023,7.5,Action,N/A,True
Halo Infinite,2021,7.0,Action,N/A,True
Muck,2021,9.4,Action,Adventure,True
Life is Strange - Episode 1,2015,9.6,Action,Adventure,True
Crab Game,2021,9.2,Action,Casual,True
EA SPORTS FIFA 23,2022,5.7,Simulation,Sports,False
World of Warships,2017,8.1,Action,Massively Multiplayer,True
World of Tanks Blitz,2016,7.9,Action,Massively Multiplayer,True
Horizon Zero Dawn Complete Edition,2020,8.8,Action,Adventure,False
FIFA 22,2021,8.0,Simulation,Sports,False
Helltaker,2020,9.8,Adventure,Indie,True
Stumble Guys,2021,8.5,Action,Casual,True
Robocraft,2017,7.3,Action,Indie,True
Aimlabs,2023,9.3,Action,Adventure,True
Splitgate,2019,9.2,Action,Indie,True
Once Human,2024,7.2,Action,Adventure,True
Deceit,2017,7.9,Action,Indie,True
Trove,2015,8.0,Action,Adventure,True
Dota Underlords,2019,8.2,Casual,Strategy,True
Totally Accurate Battlegrounds,2018,8.8,Action,Indie,True
Warface: Clutch,2014,6.6,Action,Massively Multiplayer,True
eFootball,2021,4.5,Simulation,Sports,True
Black Squad,2019,7.6,Action,N/A,True
World of Tanks,2021,8.0,Action,Massively Multiplayer,True
Poppy Playtime,2021,8.3,Action,Adventure,True
Albion Online,2018,7.9,Massively Multiplayer,RPG,True
Business Tour - Board Game with Online Multiplayer,2017,6.1,Adventure,Casual,True
Everlasting Summer,2014,9.5,Adventure,Casual,True
Shadow of the Tomb Raider: Definitive Edition,2018,7.7,Action,Adventure,False
PlanetSide 2,2012,8.4,Action,Massively Multiplayer,True
No More Room in Hell,2013,9.0,Action,Indie,True
Crusader Kings II,2012,8.2,RPG,Simulation,True
Fallout Shelter,2017,6.3,RPG,Simulation,True
Cry of Fear,2013,8.9,Action,Adventure,True
Goose Goose Duck,2021,8.7,Casual,Indie,True
Russian Fishing 4,2021,5.0,Adventure,Casual,True
Rec Room,2021,9.0,Adventure,Casual,True
Blender,2015,9.7,N/A,N/A,True
STAR WARS: The Old Republic,2020,8.5,Massively Multiplayer,RPG,True
Crossout,2017,7.5,Action,Adventure,True
Clicker Heroes,2015,9.0,Adventure,Casual,True
Eternal Return,2023,7.9,Indie,Strategy,True
War of the Three Kingdoms,2021,1.0,Strategy,N/A,True
Battlerite,2017,8.5,Action,N/A,True
AdVenture Capitalist,2015,8.8,Casual,Indie,True
Ultimate Custom Night,2018,9.5,Action,Indie,True
EA SPORTS FIFA 21,2020,7.6,Simulation,Sports,False
Realm Royale Reforged,2018,7.6,Action,N/A,True
Vampire: The Masquerade - Bloodhunt,2022,7.6,Action,N/A,True
Ori and the Blind Forest,2015,8.8,Action,N/A,False
World War 3,2022,5.4,Action,N/A,True
Mafia II (Classic),2011,7.7,Action,N/A,False
Dark and Darker,2024,7.3,Action,RPG,True
Evolve Stage 2,2015,7.7,Action,N/A,False
Farlight 84,2023,7.8,Action,Adventure,True
Banana,2024,8.2,Adventure,Casual,True
Realm of the Mad God Exalt,2012,8.2,Action,Adventure,True
PROJECT: PLAYTIME,2022,7.9,Action,Indie,True
Age of Empires III: Definitive Edition,2020,7.5,Strategy,N/A,True
Yu-Gi-Oh! Duel Links,2017,8.4,Strategy,N/A,True
VPet-Simulator,2023,9.8,Casual,Indie,True
Counter-Strike Nexon,2014,6.7,Action,Casual,True
theHunter Classic,2014,5.8,Action,Adventure,True
Hero's Land,2023,5.5,Action,Adventure,True
Super Animal Royale,2021,9.4,Action,Adventure,True
Limbus Company,2023,8.5,Action,RPG,True
Source Filmmaker,2012,9.3,N/A,N/A,True
Call of Duty: Warzone,2022,3.2,Action,N/A,True
CRSED: Cuisine Royale,2018,7.9,Action,Massively Multiplayer,True
My Singing Monsters,2021,9.4,Simulation,N/A,True
Neverwinter,2013,7.4,Action,Adventure,True
Quake Champions,2022,7.4,Action,N/A,True
Combat Master: Season 2,2023,8.8,Action,N/A,True
APB Reloaded,2011,6.4,Action,Massively Multiplayer,True
RISK: Global Domination,2020,8.0,Casual,Strategy,True
Shakes and Fidget,2016,9.3,Adventure,Casual,True
Fistful of Frags,2014,9.1,Action,Indie,True
EVE Online,2010,8.8,Action,Massively Multiplayer,True
DCS World Steam Edition,2013,8.5,Simulation,N/A,True
Infestation: The New Z,2016,5.4,Action,Indie,True
Life is Strange 2,2018,8.6,Adventure,N/A,True
FPS Chess,2022,8.4,Action,Casual,True
POLYGON,2020,7.5,Action,Indie,True
Super Auto Pets,2021,9.1,Strategy,N/A,True
KARDS - The WW2 Card Game,2020,8.0,Casual,Indie,True
Football Manager 2020,2019,8.4,Simulation,Sports,False
Emily is Away,2015,8.9,Adventure,Casual,True
Conqueror's Blade,2020,6.9,Action,Massively Multiplayer,True
HoloCure - Save the Fans!,2023,9.9,Action,Adventure,True
Bloons TD Battles 2,2021,8.4,Action,Casual,True
Sven Co-op,2016,9.4,Action,Casual,True
Pixel Gun 3D: PC Edition,2024,6.4,Action,Adventure,True
Just Cause 4 Reloaded,2018,6.8,Action,Adventure,False
Freddy Fazbear's Pizzeria Simulator,2017,9.4,Indie,Simulation,True
Bloons TD Battles,2016,9.1,Action,Strategy,True
We Were Here,2017,9.1,Action,Adventure,True
OBS Studio,2022,9.5,N/A,N/A,True
Transformice,2015,8.8,Indie,Massively Multiplayer,True
Awesomenauts - the 2D moba,2012,7.8,Action,Indie,True
Krunker,2021,7.9,Action,Casual,False
Crush Crush,2016,8.9,Casual,Indie,True
DDNet,2020,9.1,Action,Indie,True
GWENT: The Witcher Card Game,2020,8.0,RPG,Strategy,True
BLOCKADE 3D,2014,5.8,Action,N/A,True
F1 22,2022,8.1,Racing,Sports,False
Blackwake,2020,8.1,Action,Casual,True
One-armed cook,2022,9.3,Casual,Simulation,True
Supermarket Together,2024,9.3,Casual,Indie,True
One-armed robber,2023,9.0,Action,Indie,True
Rogue Company,2021,7.5,Action,N/A,True
Artifact,2018,7.6,Strategy,N/A,True
SCP: Containment Breach Multiplayer,2021,8.4,Indie,Massively Multiplayer,True
RuneScape,2020,8.4,Massively Multiplayer,RPG,True
War Robots,2018,6.1,Action,N/A,True
Football Manager 2021,2020,9.3,Simulation,Sports,False
Magic Duels,2015,7.1,Strategy,N/A,False
Leaf Blower Revolution - Idle Game,2020,9.5,Casual,Indie,True
Spiral Knights,2011,6.4,Action,Adventure,True
Lost Light,2022,5.6,Action,Massively Multiplayer,True
GrandChase,2021,6.2,Action,Casual,True
Omega Strikers,2023,8.5,Action,Strategy,True
TrackMania Nations Forever,2008,9.0,Racing,N/A,True
Pineapple on pizza,2023,9.8,Casual,Indie,True
The Plan,2014,9.2,Casual,Indie,True
Stay Out,2019,6.2,Action,Indie,True
Ironsight,2019,7.2,Action,N/A,True
RaceRoom Racing Experience,2013,7.5,Racing,Simulation,True
Alien Swarm: Reactive Drop,2017,9.5,Action,N/A,True
The Murder of Sonic the Hedgehog,2023,9.7,Casual,Indie,True
Cell to Singularity - Evolution Never Ends,2021,9.0,Casual,Simulation,True
Dungeon Defenders II,2017,7.8,Action,Indie,True
Football Manager 2022,2021,8.5,Simulation,Sports,False
Alien Swarm,2010,7.7,Action,N/A,True
死寂Deathly Stillness,2021,9.6,Action,Adventure,True
War Selection,2019,8.6,Indie,Massively Multiplayer,True
Battle Teams 2,2022,5.7,Action,Massively Multiplayer,True
DC Universe Online,2011,7.2,Action,Adventure,True
Tree of Savior (English Ver.),2016,6.4,Massively Multiplayer,RPG,True
Need For Speed: Hot Pursuit,2010,8.6,Racing,N/A,False
Bro Falls,2021,7.8,Action,Casual,True
The Lord of the Rings Online,2012,8.2,Action,Adventure,True
Dark Deception,2018,8.9,Action,Adventure,True
Star Trek Online,2012,6.6,Massively Multiplayer,RPG,True
Football Manager 2023,2022,9.0,Simulation,Sports,False
UNDECEMBER,2022,5.2,Action,Adventure,True
MOBILE SUIT GUNDAM BATTLE OPERATION 2,2023,2.1,Action,N/A,True
World of Guns: Gun Disassembly,2014,8.4,Action,Casual,True
Caliber,2023,7.7,Action,Massively Multiplayer,True
Darwin Project,2020,7.4,Action,Indie,True
Guild Wars 2,2022,9.0,Adventure,Massively Multiplayer,True
BattleBit Remastered Playtest,2022,9.5,N/A,N/A,False
Indigo Park: Chapter 1,2024,9.6,Action,Adventure,True
MY HERO ULTRA RUMBLE,2023,6.7,Action,Casual,True
The Expendabros,2014,9.7,Action,Adventure,True
IdleOn - The Idle RPG,2021,7.8,Casual,Indie,True
Action Taimanin,2020,8.3,Action,Adventure,True
Last Man Standing,2017,6.1,Action,Adventure,False
State of Decay,2013,7.9,Action,RPG,False
The Culling,2017,5.7,Action,Indie,False
Dungeonborne,2024,5.9,Action,Adventure,True
Century: Age of Ashes,2021,7.5,Action,Indie,True
Iron Snout,2016,9.8,Action,Indie,True
Monster Girl Island: Prologue,2019,9.5,Adventure,Indie,True
Will To Live Online,2018,7.0,Action,Indie,True
Portal with RTX,2022,6.0,Action,N/A,True
Palia,2024,8.2,Adventure,Casual,True
WARMODE,2019,6.2,Action,N/A,True
Toribash,2014,8.9,Action,Indie,True
Cats Hidden in Paris,2023,9.9,Casual,Indie,True
BLOCKPOST LEGACY,2019,7.4,Action,Indie,True
BATTALION: Legacy,2019,5.9,Action,N/A,True
"Warhammer 40,000: Dawn of War - Soulstorm",2008,9.5,Strategy,N/A,False
Codename CURE,2017,8.5,Action,N/A,True
Spectre Divide,2024,6.2,Action,N/A,True
Old School RuneScape,2021,8.8,Adventure,Massively Multiplayer,True
Blacklight: Retribution,2012,7.5,Action,N/A,False
Redmatch 2,2021,9.3,Action,Indie,True
Mr.Mine,2020,9.2,Adventure,Casual,True
Drunken Wrestlers 2,2019,8.8,Action,Casual,True
Rome: Total War - Collection,2007,9.2,Strategy,N/A,False
Shop Titans,2020,7.8,Adventure,Casual,True
Operation: Harsh Doorstop,2023,7.7,Action,Casual,True
Governor of Poker 3,2016,7.0,Casual,Massively Multiplayer,True
BRAIN / OUT,2017,8.2,Action,Indie,True
Hired Ops,2021,6.7,Action,Massively Multiplayer,True
Arrow a Row,2023,9.7,Casual,Indie,True
Block N Load,2015,7.2,Action,Massively Multiplayer,True
Banana Shooter,2022,8.9,Action,Casual,True
Catan Universe,2017,4.9,Casual,Strategy,True
missed messages,2019,9.6,Casual,Indie,True
Just Cause 2: Multiplayer Mod,2013,9.2,Action,Adventure,True
Quaver,2022,9.2,Casual,Indie,True
Star Conflict,2013,7.5,Action,Adventure,True
Sakura Clicker,2015,8.4,Casual,Indie,True
Shadowverse CCG,2016,7.4,Strategy,N/A,True
Real Pool 3D - Poolians,2018,7.7,Action,Casual,True
Magic: The Gathering Arena,2023,6.4,Strategy,N/A,True
MIR4,2021,6.5,Action,Adventure,True
Command & Conquer Red Alert 3,2009,8.2,Strategy,N/A,False
Nobody - The Turnaround,2022,6.0,Simulation,Strategy,False
BioShock 2,2010,8.8,Action,N/A,False
Assassins Creed III,2012,8.0,Adventure,N/A,False
Idle Champions of the Forgotten Realms,2020,7.8,Action,Adventure,True
The Looker,2022,9.7,Indie,N/A,True
The Awesome Adventures of Captain Spirit,2018,7.9,Adventure,N/A,True
Outcore: Desktop Adventure,2022,9.7,Action,Adventure,True
Grimm's Hollow,2019,9.9,Adventure,Indie,True
MapleStory,2012,6.4,Action,Adventure,True
Trackmania,2023,7.6,Racing,N/A,True
OpenTTD,2021,9.6,Casual,Indie,True
NIGHT-RUNNERS PROLOGUE,2024,9.5,Racing,Simulation,True
Moonbase Alpha,2010,9.1,Adventure,Simulation,True
Naval Action,2019,5.7,Indie,Massively Multiplayer,True
"I Love You, Colonel Sanders! A Finger Lickin Good Dating Simulator",2019,9.2,Casual,Indie,True
Freestyle 2: Street Basketball,2015,7.3,Action,Casual,True
Football Manager 2019,2018,8.6,Simulation,Sports,False
Pixel Strike 3D,2020,7.4,Action,Adventure,True
Predecessor,2024,7.3,Action,Strategy,True
Astral Party,2024,5.2,Casual,Indie,True
Yet Another Zombie Defense,2014,8.7,Action,Casual,True
Darksiders,2010,8.3,Action,Adventure,False
Walking Zombie 2,2019,8.8,Action,Adventure,True
东北之夏,2023,9.8,RPG,N/A,True
Eternal Senia,2015,9.8,Action,Indie,True
Mitos.is: The Game,2015,8.1,Casual,Simulation,True
Enlisted,2024,7.8,Action,Massively Multiplayer,True
MechWarrior Online Legends,2015,8.0,Action,Massively Multiplayer,True
Sheepy: A Short Adventure,2024,9.9,Adventure,Casual,True
Divinity: Original Sin (Classic),2014,8.7,Adventure,Indie,False
Our Life: Beginnings & Always,2020,9.9,Casual,Indie,True
ARK: The Survival Of The Fittest,2017,6.6,Action,Adventure,False
Summoners War: Chronicles,2022,7.8,Action,Adventure,True
NGU IDLE,2019,9.6,Adventure,Indie,True
Escape Room - Der kranke Kollege,2020,8.3,Adventure,Casual,True
Torque Drift,2021,7.6,Racing,N/A,True
S.K.I.L.L. - Special Force 2 (Shooter),2015,7.1,Action,Adventure,False
BLOCKADE,2019,7.5,Action,Indie,True
Double Action: Boogaloo,2014,9.3,Action,Indie,True
SEGA Mega Drive and Genesis Classics,2010,8.3,Action,Adventure,False
RIFT,2011,8.4,Action,Adventure,True
Dagon: by H. P. Lovecraft,2021,9.5,Adventure,Casual,True
Paunch,2019,9.0,Action,Indie,True
BLEACH Brave Souls,2020,8.9,Action,Casual,True
Garten of Banban,2023,5.2,Action,Adventure,True
Slapshot: Rebound,2024,8.3,Action,Casual,True
Fear Surrounds,2021,8.7,Casual,Indie,True
1v1.LOL - Battle Royale Game,2023,7.5,Action,Adventure,True
Amorous,2018,8.4,Indie,Simulation,True
Asphalt Legends Unite,2022,8.1,Action,Adventure,True
The Elder Scrolls: Legends,2017,7.4,N/A,N/A,True
Knight Online,2016,5.0,Action,Adventure,True
GunZ 2: The Second Duel,2014,6.6,Action,Indie,True
Riders of Icarus,2016,6.6,Adventure,Massively Multiplayer,True
Game of Thrones - A Telltale Games Series,2014,7.6,Adventure,N/A,False
AirMech,2018,8.4,Action,Indie,True
The Planet Crafter: Prologue,2021,9.7,Adventure,N/A,True
Soulworker,2021,7.2,Action,Massively Multiplayer,True
Tower of Fantasy,2022,7.1,Action,Massively Multiplayer,True
Grand Theft Auto: Episodes from Liberty City,2010,7.4,Action,N/A,False
Baldi's Basics Classic Remastered,2022,9.3,Action,Indie,True
Deepest Sword,2021,8.7,Indie,N/A,True
WAKFU,2014,7.6,Action,Adventure,True
Bless Online,2018,3.7,Action,Adventure,False
Gems of War - Puzzle RPG,2014,7.9,Action,Adventure,True
月圆之夜 (Night of Full Moon),2019,8.4,Adventure,Indie,True
Radical Heights,2018,6.2,Action,Adventure,False
Cube Escape: Paradox,2018,9.7,Adventure,Indie,True
Virtual Cottage,2020,9.8,Casual,Indie,True
The Finals Playtest,2023,8.4,N/A,N/A,False
Breeders of the Nephelym: Alpha,2019,9.0,Adventure,Indie,True
DEAD OR ALIVE 5 Last Round: Core Fighters,2015,6.9,Action,N/A,True
